project,year,directory,run_set,category,urbansim_path,urbansim_runid,status
RTP2017,2005,2005_05_003,Plan,Past year,,,
RTP2017,2010,2010_06_003,Plan,Past year,,,
RTP2017,2015,2015_06_002,Plan,Past year,,,
RTP2017,2020,2020_06_690,Plan,No Project,,,
RTP2017,2020,2020_06_691,Plan,Main Streets,,,
RTP2017,2020,2020_06_693,Plan,Big Cities,,,
RTP2017,2020,2020_06_694,Plan,Proposed Plan,,,
RTP2017,2020,2020_06_695,Plan,EEJ,,,
RTP2017,2035,2035_06_690,Plan,No Project,,,
RTP2017,2035,2035_06_691,Plan,Main Streets,,,
RTP2017,2035,2035_06_693,Plan,Big Cities,,,
RTP2017,2035,2035_06_694_Amd2,Plan,Proposed Plan,,,
RTP2017,2035,2035_06_697,Plan,EEJ,,,
RTP2017,2040,2040_06_690,Plan,No Project,,,
RTP2017,2040,2040_06_691,Plan,Main Streets,,,
RTP2017,2040,2040_06_693,Plan,Big Cities,,,
RTP2017,2040,2040_06_694_Amd2,Plan,Proposed Plan,,,
RTP2017,2040,2040_06_697,Plan,EEJ,,,
RTP2021,2005,2005_TM152_IPA_03,IP,IP,,,current
RTP2021,2015,2015_TM152_IPA_16,IP,IP,,,current
RTP2021,2020,2020_TM152_DBP_NoProject_01,DraftBlueprint,No Project,"Blueprint Plus Crossing (s23)\v1.7.1- FINAL DRAFT BLUEPRINT",run98,current
RTP2021,2035,2035_TM152_IPA_00,IP,IP,,,
RTP2021,2035,2035_TM152_IPA_01,IP,IP,,,current
RTP2021,2035,2035_TM152_DBP_NoProject_00,DraftBlueprint,No Project,,,
RTP2021,2035,2035_TM152_DBP_NoProject_01,DraftBlueprint,No Project,,,
RTP2021,2035,2035_TM152_DBP_NoProject_02,DraftBlueprint,No Project,,,
RTP2021,2035,2035_TM152_DBP_NoProject_03,DraftBlueprint,No Project,,,
RTP2021,2035,2035_TM152_DBP_NoProject_06,DraftBlueprint,No Project,"Blueprint Plus Crossing (s23)\v1.6 (all strategies)",run90,
RTP2021,2035,2035_TM152_DBP_NoProject_07,DraftBlueprint,No Project,"Blueprint Plus Crossing (s23)\v1.7 (strategies + BASIS-hybrid)",run92,
RTP2021,2035,2035_TM152_DBP_NoProject_08,DraftBlueprint,No Project,"Blueprint Plus Crossing (s23)\v1.7.1- FINAL DRAFT BLUEPRINT",run98,
RTP2021,2035,2035_TM152_FBP_NoProject_06,FinalBlueprint,No Project,"Blueprint Plus Crossing (s23)\v1.7.1- FINAL DRAFT BLUEPRINT",run98,
RTP2021,2035,2035_TM152_FBP_NoProject_08,FinalBlueprint,No Project,"Blueprint Plus Crossing (s23)\v1.7.1- FINAL DRAFT BLUEPRINT",run98,current
RTP2021,2035,2035_TM152_DBP_Basic_00,DraftBlueprint,Basic,,,
RTP2021,2035,2035_TM152_DBP_Basic_01,DraftBlueprint,Basic,,,
RTP2021,2035,2035_TM152_DBP_Plus_00,DraftBlueprint,Plus,,,
RTP2021,2035,2035_TM152_DBP_Plus_01,DraftBlueprint,Plus,,,
RTP2021,2035,2035_TM152_DBP_Plus_02,DraftBlueprint,Plus,"Blueprint Basic (s21)\v1.5.1\v1.5.1.1 (only to 2035)",run977,
RTP2021,2035,2035_TM152_DBP_Plus_03,DraftBlueprint,Plus,"Blueprint Plus Crossing (s23)\v1.5.2",run72,
RTP2021,2035,2035_TM152_DBP_Plus_04,DraftBlueprint,Plus,"Blueprint Plus Crossing (s23)\v1.5.5",run998,
RTP2021,2035,2035_TM152_DBP_Plus_06,DraftBlueprint,Plus,"Blueprint Plus Crossing (s23)\v1.6 (all strategies)",run90,
RTP2021,2035,2035_TM152_DBP_Plus_07,DraftBlueprint,Plus,"Blueprint Plus Crossing (s23)\v1.7 (strategies + BASIS-hybrid)",run92,
RTP2021,2035,2035_TM152_DBP_Plus_08,DraftBlueprint,Plus,"Blueprint Plus Crossing (s23)\v1.7.1- FINAL DRAFT BLUEPRINT",run98,current
RTP2021,2035,2035_TM152_DBP_Plus_08_trnwalk,DraftBlueprint,Plus,"Blueprint Plus Crossing (s23)\v1.7.1- FINAL DRAFT BLUEPRINT",run98,
RTP2021,2035,2035_TM152_DBP_Plus_08_trnwalkshrt,DraftBlueprint,Plus,"Blueprint Plus Crossing (s23)\v1.7.1- FINAL DRAFT BLUEPRINT",run98,
RTP2021,2035,2035_TM152_DBP_Plus_08_AV0,DraftBlueprint,Plus,"Blueprint Plus Crossing (s23)\v1.7.1- FINAL DRAFT BLUEPRINT",run98,
RTP2021,2035,2035_TM152_DBP_Plus_08_TollingX2,DraftBlueprint,Plus,"Blueprint Plus Crossing (s23)\v1.7.1- FINAL DRAFT BLUEPRINT",run98,
RTP2021,2035,2035_TM152_DBP_Plus_08_TelecommuteX3,DraftBlueprint,Plus,"Blueprint Plus Crossing (s23)\v1.7.1- FINAL DRAFT BLUEPRINT",run98,
RTP2021,2035,2035_TM152_DBP_Plus_08_Telecommute19p,DraftBlueprint,Plus,"Blueprint Plus Crossing (s23)\v1.7.1- FINAL DRAFT BLUEPRINT",run98,
RTP2021,2035,2035_TM152_FBP_Plus_01,FinalBlueprint,Plus,"Blueprint Plus Crossing (s23)\v1.7.1- FINAL DRAFT BLUEPRINT",run98,
RTP2021,2035,2035_TM152_FBP_Plus_06,FinalBlueprint,Plus,"Blueprint Plus Crossing (s23)\v1.7.1- FINAL DRAFT BLUEPRINT",run98,current
RTP2021,2035,2035_TM152_FBP_Plus_08,FinalBlueprint,Plus,"Blueprint Plus Crossing (s23)\v1.7.1- FINAL DRAFT BLUEPRINT",run98,current
RTP2021,2050,2050_TM152_DBP_NoProject_00,DraftBlueprint,No Project,,,
RTP2021,2050,2050_TM152_DBP_NoProject_01,DraftBlueprint,No Project,,,
RTP2021,2050,2050_TM152_DBP_NoProject_03,DraftBlueprint,No Project,"Blueprint Plus Crossing (s23)\v1.5.2",run72,
RTP2021,2050,2050_TM152_DBP_NoProject_04,DraftBlueprint,No Project,"Blueprint Plus Crossing (s23)\v1.5.2",run72,
RTP2021,2050,2050_TM152_DBP_NoProject_06,DraftBlueprint,No Project,"Blueprint Plus Crossing (s23)\v1.6 (all strategies)",run90,
RTP2021,2050,2050_TM152_DBP_NoProject_07,DraftBlueprint,No Project,"Blueprint Plus Crossing (s23)\v1.7 (strategies + BASIS-hybrid)",run92,
RTP2021,2050,2050_TM152_DBP_NoProject_08,DraftBlueprint,No Project,"Blueprint Plus Crossing (s23)\v1.7.1- FINAL DRAFT BLUEPRINT",run98,
RTP2021,2050,2050_TM152_FBP_NoProject_05,FinalBlueprint,No Project,"Blueprint Plus Crossing (s23)\v1.7 (strategies + BASIS-hybrid)",run92,
RTP2021,2050,2050_TM152_FBP_NoProject_06,FinalBlueprint,No Project,"Blueprint Plus Crossing (s23)\v1.7.1- FINAL DRAFT BLUEPRINT",run98,current
RTP2021,2050,2050_TM152_FBP_NoProject_08,FinalBlueprint,No Project,"Blueprint Plus Crossing (s23)\v1.7.1- FINAL DRAFT BLUEPRINT",run98,current
RTP2021,2050,2050_TM152_DBP_Basic_00,DraftBlueprint,Basic,,,
RTP2021,2050,2050_TM152_DBP_Basic_01,DraftBlueprint,Basic,,,
RTP2021,2050,2050_TM152_DBP_PlusCrossing_00,DraftBlueprint,Plus,,,
RTP2021,2050,2050_TM152_DBP_PlusCrossing_01,DraftBlueprint,Plus,,,
RTP2021,2050,2050_TM152_DBP_PlusCrossing_02,DraftBlueprint,Plus,"Blueprint Basic (s21)\v1.5.1\v1.5.1.2 (to 2050)",run56,
RTP2021,2050,2050_TM152_DBP_PlusCrossing_03,DraftBlueprint,Plus,"Blueprint Basic (s21)\v1.5.1\v1.5.1.2 (to 2050)",run56,
RTP2021,2050,2050_TM152_DBP_PlusCrossing_04,DraftBlueprint,Plus,"Blueprint Plus Crossing (s23)\v1.5.2",run72,
RTP2021,2050,2050_TM152_DBP_PlusCrossing_05,DraftBlueprint,Plus,"Blueprint Plus Crossing (s23)\v1.5.5",run998,
RTP2021,2050,2050_TM152_DBP_PlusCrossing_06,DraftBlueprint,Plus,"Blueprint Plus Crossing (s23)\v1.6 (all strategies)",run90,
RTP2021,2050,2050_TM152_DBP_PlusCrossing_07,DraftBlueprint,Plus,"Blueprint Plus Crossing (s23)\v1.7 (strategies + BASIS-hybrid)",run92,
RTP2021,2050,2050_TM152_DBP_PlusCrossing_08,DraftBlueprint,Plus,"Blueprint Plus Crossing (s23)\v1.7.1- FINAL DRAFT BLUEPRINT",run98,current
RTP2021,2050,2050_TM152_FBP_PlusCrossing_01,FinalBlueprint,Plus,"Blueprint Plus Crossing (s23)\v1.7.1- FINAL DRAFT BLUEPRINT",run98,current
RTP2021,2050,2050_TM152_FBP_PlusCrossing_02,FinalBlueprint,Plus,"Blueprint Plus Crossing (s23)\v1.7.1- FINAL DRAFT BLUEPRINT",run98,
RTP2021,2050,2050_TM152_FBP_PlusCrossing_03,FinalBlueprint,Plus,"Blueprint Plus Crossing (s23)\v1.7.1- FINAL DRAFT BLUEPRINT",run98,
RTP2021,2050,2050_TM152_FBP_PlusCrossing_03_NoPerMileTolling,FinalBlueprint,Plus,"Blueprint Plus Crossing (s23)\v1.7.1- FINAL DRAFT BLUEPRINT",run98,
RTP2021,2050,2050_TM152_FBP_PlusCrossing_03_splitavtnc,FinalBlueprint,Plus,"Blueprint Plus Crossing (s23)\v1.7.1- FINAL DRAFT BLUEPRINT",run98,
RTP2021,2050,2050_TM152_FBP_PlusCrossing_04,FinalBlueprint,Plus,"Blueprint Plus Crossing (s23)\v1.7.1- FINAL DRAFT BLUEPRINT",run98,
RTP2021,2050,2050_TM152_FBP_PlusCrossing_05,FinalBlueprint,Plus,"Blueprint Plus Crossing (s23)\v1.7 (strategies + BASIS-hybrid)",run92,
RTP2021,2050,2050_TM152_FBP_PlusCrossing_06,FinalBlueprint,Plus,"Blueprint Plus Crossing (s23)\v1.7.1- FINAL DRAFT BLUEPRINT",run98,current
RTP2021,2050,2050_TM152_FBP_PlusCrossing_08,FinalBlueprint,Plus,"Blueprint Plus Crossing (s23)\v1.7.1- FINAL DRAFT BLUEPRINT",run98,current
